# Energy[keV] nuFnu[keV2/keV/cm2/s] R G B
# 0.000 0.000 0.000
10.5325 0.00288645 1.000 0.000 0.000
10.6536 0.00300027 1.000 0.000 0.000
10.7762 0.00295959 1.000 0.000 0.000
10.9001 0.00270215 1.000 0.000 0.000
10.9955 0.00309034 1.000 0.000 0.000
11.0978 0.00280232 1.000 0.000 0.000
11.2193 0.00280871 1.000 0.000 0.000
11.3422 0.00262937 1.000 0.000 0.000
11.4602 0.00288645 1.000 0.000 0.000
11.5857 0.00309034 1.000 0.000 0.000
11.7253 0.00259963 1.000 0.000 0.000
11.886 0.00289961 1.000 0.000 0.000
12.049 0.00287334 1.000 0.000 0.000
12.2275 0.00244475 1.000 0.000 0.000
12.4153 0.00293946 1.000 0.000 0.000
12.5718 0.0030346 1.000 0.000 0.000
12.7372 0.0028603 1.000 0.000 0.000
12.9189 0.0027083 1.000 0.000 0.000
13.1031 0.00313995 1.000 0.000 0.000
13.261 0.00302082 1.000 0.000 0.000
13.4282 0.00344694 1.000 0.000 0.000
13.6049 0.0033694 1.000 0.000 0.000
13.829 0.00268377 1.000 0.000 0.000
14.0721 0.00296634 1.000 0.000 0.000
14.2961 0.00309737 1.000 0.000 0.000
14.5158 0.0031115 1.000 0.000 0.000
14.7629 0.00319035 1.000 0.000 0.000
15.0061 0.00307631 1.000 0.000 0.000
15.2284 0.00387983 1.000 0.000 0.000
15.4708 0.00355041 1.000 0.000 0.000
15.7771 0.00304151 1.000 0.000 0.000
16.0632 0.00377534 1.000 0.000 0.000
16.3456 0.00341571 1.000 0.000 0.000
16.6692 0.00348637 1.000 0.000 0.000
16.9715 0.00371569 1.000 0.000 0.000
17.3453 0.0030346 1.000 0.000 0.000
17.7466 0.00353429 1.000 0.000 0.000
18.1374 0.00367366 1.000 0.000 0.000
18.5672 0.00350227 1.000 0.000 0.000
18.9658 0.00415389 1.000 0.000 0.000
19.4151 0.00376676 1.000 0.000 0.000
19.9294 0.0039153 1.000 0.000 0.000
20.3794 0.0048269 1.000 0.000 0.000
20.8509 0.0044372 1.000 0.000 0.000
21.3915 0.0046017 1.000 0.000 0.000
21.994 0.00466495 1.000 0.000 0.000
22.5765 0.00490438 1.000 0.000 0.000
23.1744 0.00591026 1.000 0.000 0.000
23.9442 0.00467557 1.000 0.000 0.000
25.1334 0.00437704 1.000 0.000 0.000
26.5835 0.00516785 1.000 0.000 0.000
28.0408 0.00544548 1.000 0.000 0.000
29.5459 0.00662232 1.000 0.000 0.000
30.9457 0.00771278 1.000 0.000 0.000
32.5535 0.00814563 1.000 0.000 0.000
34.8278 0.00755646 1.000 0.000 0.000
37.4848 0.00839015 1.000 0.000 0.000
40.3886 0.00846685 1.000 0.000 0.000
43.5173 0.0102733 1.000 0.000 0.000
46.8628 0.0125219 1.000 0.000 0.000
50.4655 0.0126652 1.000 0.000 0.000
54.227 0.0143861 1.000 0.000 0.000
58.2371 0.0194254 1.000 0.000 0.000
63.0224 0.0155431 1.000 0.000 0.000
68.1637 0.0191184 1.000 0.000 0.000
73.7647 0.0225213 1.000 0.000 0.000
78.7464 0.0387039 1.000 0.000 0.000
# 0.000 1.000 0.000
2.97233 0.0261107 0.000 1.000 0.000
3.01143 0.025063 0.000 1.000 0.000
3.05105 0.0256398 0.000 1.000 0.000
3.09119 0.0223681 0.000 1.000 0.000
3.13015 0.0259922 0.000 1.000 0.000
3.16961 0.0231446 0.000 1.000 0.000
3.20956 0.0215195 0.000 1.000 0.000
3.25002 0.0223173 0.000 1.000 0.000
3.28919 0.0233032 0.000 1.000 0.000
3.32884 0.021865 0.000 1.000 0.000
3.36713 0.0201455 0.000 1.000 0.000
3.40771 0.0205623 0.000 1.000 0.000
3.44691 0.018435 0.000 1.000 0.000
3.48656 0.0195139 0.000 1.000 0.000
3.52666 0.0197372 0.000 1.000 0.000
3.56528 0.0169853 0.000 1.000 0.000
3.60629 0.0189884 0.000 1.000 0.000
3.64579 0.019963 0.000 1.000 0.000
3.68571 0.0172579 0.000 1.000 0.000
3.72405 0.0135907 0.000 1.000 0.000
3.76483 0.0162667 0.000 1.000 0.000
3.80399 0.0163037 0.000 1.000 0.000
3.84356 0.0164154 0.000 1.000 0.000
3.88354 0.0152975 0.000 1.000 0.000
3.92393 0.0163037 0.000 1.000 0.000
3.96258 0.0143534 0.000 1.000 0.000
4.00162 0.0141266 0.000 1.000 0.000
4.04104 0.0136527 0.000 1.000 0.000
4.08085 0.014617 0.000 1.000 0.000
4.12105 0.0128392 0.000 1.000 0.000
4.16165 0.0146503 0.000 1.000 0.000
4.20036 0.0127519 0.000 1.000 0.000
4.24173 0.0115898 0.000 1.000 0.000
4.28119 0.0123803 0.000 1.000 0.000
4.32101 0.0115898 0.000 1.000 0.000
4.35882 0.0108745 0.000 1.000 0.000
4.39937 0.0119649 0.000 1.000 0.000
4.44029 0.0123241 0.000 1.000 0.000
4.47915 0.0109241 0.000 1.000 0.000
4.51835 0.0109989 0.000 1.000 0.000
4.57779 0.00968319 0.000 1.000 0.000
4.63802 0.00959547 0.000 1.000 0.000
4.69904 0.00974951 0.000 1.000 0.000
4.77904 0.00864201 0.000 1.000 0.000
4.85777 0.00880074 0.000 1.000 0.000
4.93778 0.00846685 0.000 1.000 0.000
5.01639 0.00904433 0.000 1.000 0.000
5.09624 0.00809023 0.000 1.000 0.000
5.17737 0.00839015 0.000 1.000 0.000
5.25693 0.00767777 0.000 1.000 0.000
5.3348 0.00669808 0.000 1.000 0.000
5.41677 0.00705791 0.000 1.000 0.000
5.49402 0.00764291 0.000 1.000 0.000
5.5754 0.00601882 0.000 1.000 0.000
5.65491 0.0062847 0.000 1.000 0.000
5.73555 0.00685222 0.000 1.000 0.000
5.81417 0.00653253 0.000 1.000 0.000
5.91316 0.00563452 0.000 1.000 0.000
6.01384 0.00619949 0.000 1.000 0.000
6.1129 0.00527476 0.000 1.000 0.000
6.23393 0.00581688 0.000 1.000 0.000
6.3539 0.00509779 0.000 1.000 0.000
6.47617 0.00493797 0.000 1.000 0.000
6.6152 0.00428833 0.000 1.000 0.000
6.77563 0.00442712 0.000 1.000 0.000
6.93617 0.00471832 0.000 1.000 0.000
