

#   Phi[rad]  Energy[keV]            I          Q/I
    0.523599      2.12953      1962.05    -0.853506
    0.523599      2.23092      1905.06    -0.851317
    0.523599      2.33715      1841.37    -0.848932
    0.523599      2.44844      1772.03    -0.846374
    0.523599      2.56502      1698.55    -0.843729
    0.523599      2.68716      1622.06    -0.841045
    0.523599      2.81511      1542.54    -0.838232
    0.523599      2.94915      1460.04    -0.835187
    0.523599      3.08958      1374.73    -0.831806
    0.523599      3.23669      1286.96    -0.827971
    0.523599      3.39081      1197.23    -0.823574
    0.523599      3.55226      1106.23    -0.818559
    0.523599      3.72141      1014.83    -0.812797
    0.523599       3.8986      924.072    -0.806202
    0.523599      4.08424       835.14    -0.798735
    0.523599      4.27871      749.334    -0.790412
    0.523599      4.48245       667.96    -0.781341
    0.523599      4.69588       592.03    -0.771668
    0.523599      4.91948      522.034    -0.761471
    0.523599      5.15372      458.253    -0.750855
    0.523599      5.39912      400.778     -0.73997
    0.523599      5.65621      349.503    -0.728988
    0.523599      5.92553      304.125    -0.718065
    0.523599      6.20768      264.161    -0.707278
    0.523599      6.50326      228.997    -0.696552
    0.523599      6.81292      197.973    -0.685634
    0.523599      7.13732       170.55    -0.674252
    0.523599      7.47717      146.326    -0.662202
    0.523599       7.8332      124.994    -0.649355
    0.523599      8.20619      106.315    -0.635695
    0.523599      8.59693      90.0856    -0.621336
    0.523599      9.00628      76.1398    -0.606657
    0.523599      9.43512      64.2888    -0.592162
    0.523599      9.88438      54.2342    -0.577876
    0.523599       10.355      45.6779    -0.563518
    0.523599      10.8481      38.4092    -0.549069
    0.523599      11.3646      32.2638     -0.53472
    0.523599      11.9058      27.0726    -0.520443
    0.523599      12.4727      22.6909    -0.506197
    0.523599      13.0666      18.9979    -0.491989
    0.523599      13.6887      15.8924    -0.477891
    0.523599      14.3405      13.2873    -0.464008
    0.523599      15.0234      11.1056    -0.450412
    0.523599      15.7387        9.281    -0.437171
    0.523599      16.4881       7.7562    -0.424324
    0.523599      17.2732      6.48223    -0.411876
